lat,lon,spring_T
31.9171953,-103.1138728,
31.8677258,-103.5466271,
31.0038773,-104.9905142,22.5
37.7628306,-118.9903594,
31.7056837,-103.0640668,
31.285382,-103.137141,
46.4501008,-111.981376,54.8
44.4248203,-121.8419453,25.06
44.4248203,-121.8419453,25.06
44.4248203,-121.8419453,25.06
44.4248203,-121.8419453,25.06
44.4248203,-121.8419453,25.06
34.6001,-103.3205,
34.6001,-103.3205,
34.6001,-103.3205,
34.6001,-103.3205,
34.6001,-103.3205,
34.6001,-103.3205,
31.9593239,-104.0050387,
33.5346795,-103.0301288,
31.4739643,-103.0100919,
33.6281498,-103.0475494,
42.9627068,-113.1616614,12.33
42.9627068,-113.1616614,12.33
42.9627068,-113.1616614,12.33
42.9627068,-113.1616614,12.33
31.5767367,-103.439116,
37.6082084,-121.9660361,
31.6278107,-103.2424682,
31.5950862,-103.0223447,
39.8181082,-117.5041458,24.29
31.0478191,-103.0116202,
31.9667879,-111.0673541,
31.9418018,-103.039704,
39.7893959,-119.027488,33.44
34.2900731,-108.7606411,
43.9499,-116.226,
31.8748846,-103.520214,
31.3813378,-103.8261928,
31.9946046,-103.9727343,
45.3741047,-111.729651,42.1
39.044,-104.5362,
32.5615407,-103.0111036,
39.9648687,-117.8563198,
31.7541911,-104.1080953,
31.7589142,-103.0724669,
31.9893149,-103.9115219,
31.6013419,-103.0134888,
31.710508,-103.5960986,
31.685936,-103.7992587,
40.048228,-118.7226499,31.6
31.7166645,-103.0436835,
36.27,-107.8006,
31.7078391,-103.0354945,
37.2438,-104.7609,
37.2438,-104.7609,
37.2438,-104.7609,
37.2438,-104.7609,
39.7678,-103.1322,
31.8642382,-103.1475311,
43.1444,-111.4444,
31.9356212,-103.0563841,
39.9578914,-119.263997,29.8
31.8805685,-103.0564964,
31.1797362,-103.0555953,
31.894663,-103.071289,
38.8780759,-122.9508802,20.56
38.8780759,-122.9508802,20.56
38.8780759,-122.9508802,20.56
38.8780759,-122.9508802,20.56
41.6815553,-116.977624,14.9
40.9953,-103.9036,
32.7032249,-103.0542225,
40.2915648,-117.9026303,25.8
31.1337931,-103.1779916,
31.6153032,-103.3008064,
31.7089198,-103.038147,
32.916308,-108.648728,
32.0001094,-113.0007395,
37.2101,-104.9335,
37.2101,-104.9335,
37.2101,-104.9335,
37.2101,-104.9335,
40.4615495,-119.4243422,20.5
31.7198404,-103.0138559,
36.6,-107.7006,
35.9403476,-106.5907913,240.0
35.9403476,-106.5907913,240.0
43.9041824,-117.1688148,30.55
32.4745583,-103.0505263,
31.9687711,-103.1757278,
31.7782852,-103.0709615,
34.7500127,-116.7508645,
32.1579918,-103.0366545,
31.9531608,-103.2087251,
39.5848947,-119.5326657,22.7
43.9289861,-117.165838,31.62
46.1726079,-122.2694937,8.13
46.1726079,-122.2694937,8.13
31.8778653,-103.1123673,
31.9852046,-103.4448227,
37.267,-104.7249,
37.267,-104.7249,
37.267,-104.7249,
37.267,-104.7249,
39.0038103,-118.7890704,18.85
31.6972727,-103.8479558,
35.9695503,-105.9052714,11.92
31.5446821,-104.0573815,
31.9527388,-103.30043,
38.7954595,-112.7427969,
38.7954595,-112.7427969,
38.7954595,-112.7427969,
38.7954595,-112.7427969,
36.1704,-107.3087,
33.0967713,-103.0182968,
32.1245512,-103.0332965,
37.3999455,-118.0009281,
31.926528,-103.0794489,
37.6582733,-113.5635079,127.0
37.6582733,-113.5635079,127.0
37.6582733,-113.5635079,127.0
31.3254351,-103.1882338,
31.7917258,-103.1337356,
42.3895261,-122.9798391,15.26
44.728015,-122.1804611,16.73
31.8215937,-103.9379314,
31.5617176,-103.2046171,
31.8262235,-104.1018841,
44.151,-121.3948,11.56
38.1901673,-113.0680996,
45.7328079,-122.4074884,12.47
32.7268113,-103.0012978,
31.9489,-103.4332,
33.0643094,-103.0159371,
39.9534935,-119.0178901,
46.5960997,-112.1125827,65.98
46.5960997,-112.1125827,65.98
31.4758869,-103.9749924,
31.7615693,-103.117925,
40.0032037,-117.7181544,
31.960822,-103.0551671,
38.4511612,-113.3034092,
35.9843466,-106.604492,
45.4126519,-118.0448511,20.23
33.4543646,-103.0033708,
31.9165843,-103.0511196,
35.81166,-120.4042723,
35.81166,-120.4042723,
35.81166,-120.4042723,
35.81166,-120.4042723,
43.938,-112.4745,9.76
33.2451,-103.6011,
43.1,-106.1606,
31.4829184,-103.9624672,
36.9822,-109.2663,
36.9822,-109.2663,
36.9822,-109.2663,
31.7020711,-103.7404405,
31.9844448,-103.1283207,
31.6941249,-103.7316215,
31.8793508,-103.4478186,
32.1728626,-103.0475222,
31.5052979,-103.2156539,
33.122205,-103.055211,
31.6855098,-103.9870749,
31.7213209,-103.0000436,
45.6994,-115.6955,
31.66416,-103.0347393,
31.4432803,-103.4518211,
41.7265463,-121.6677913,
37.2178,-104.7612,
37.2178,-104.7612,
37.2178,-104.7612,
37.2178,-104.7612,
42.574922,-111.5158054,15.0
31.1154387,-103.1529099,
38.8818767,-122.8552778,
47.7299,-110.5408,
31.1395051,-103.3200674,
31.6383509,-103.0318348,
43.9367063,-112.3511499,12.2
41.3581767,-118.8085051,35.0
33.5419916,-108.705834,
32.2877326,-107.0217784,
31.614623,-103.1087716,
31.9592127,-103.3011253,
31.8090953,-103.9318749,
31.2975489,-103.2347406,
46.9099,-107.9007,
31.9593625,-103.0057273,
38.9166094,-119.0676769,22.49
31.9568583,-103.1333955,
31.7750226,-103.1389401,
44.9599,-106.8407,
31.8930422,-103.9733598,
42.6162019,-114.1886879,15.23
42.6162019,-114.1886879,15.23
42.6162019,-114.1886879,15.23
42.6162019,-114.1886879,15.23
31.8855207,-103.973587,
41.7674454,-121.7108932,
31.9054826,-103.0559743,
31.9550077,-103.0618718,
31.9218051,-103.0315641,
43.3485817,-115.9559524,17.85
31.948266,-103.1948326,
31.5803406,-103.0217084,
32.8731,-103.2929,
32.7721405,-103.0543225,
40.9677535,-109.1242125,
31.749934,-103.1019793,
31.894354,-104.024578,
