grecord_,name,kgra,wellspring,api,waringno,country,state,county,latitude,longitude,t,r,sec,qsections,bmeridian,mreference,geoprovinc,localityin,sourcetype,pcollect,samplenum,cdate,collector,blank,deposits,treatment,lithology,sampleinfo,sampleinfa,adate,analyst,units,ameas,temp,dtemp,flow,amtemp,depth,gradient,whpressure,pressure1,pressure2,pressure3,steamflow,tflowenth,ph,phtemp,gravity,conductanc,alkalinity,tds,tss,ag,al,as,au,b,ba,be,bi,br,ca,camg,cd,cl,co,co3,cr,cs,cu,f,fe3,fetotal,ga,ge,hco3,hg,h2s,i,k,li,mg,mn,mo,na,nak,nb,nh4,ni,no3,pb,po4,rb,s,sb,sc,se,sio2,sn,so4,sr,ta,ti,u,v,w,zn,dwater,owater18,oso418,sh2s34,sh2s34rev,c13co2,tritium,c14ofc02,otheradata,qualifinfo,reference,rorganizat
17392,CUTLER WARM SPRING,,,,,UNITED STATES,UTAH,BOX ELDER,41-50.04 N,112- 3.36 W,13N,002W,27,SE OF NW,,,35,,SPRING,,,1968/02/02,,,,,,,,,,MG/L,,23.0,,38.0,,,,,,,,,,7.6,,,3670.0,,2120.0,,,,,,0.22,,,,,84.0,,,1000.0,,,,,,1.0,,,,,320.0,,,,22.0,,43.0,,,620.0,,,,,2.1,,,,,,,,17.0,,65.0,,,,,,,,,,,,,,,,,,"BJORKLUND AND MCGREEVY, 1973",UTAH GEOLOGICAL AND MINERAL SURVEY
17073,DAVIS I,,,,,UNITED STATES,UTAH,BOX ELDER,41-41.62 N,112-04.92 W,10N,002W,16,SW OF SE,,,,,WELL,,,1974/06/00,,L/MIN,,,,,,,,,,107.0,,23.0,,3354.0,,,,,,,,,,,,,85000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"GOODE, 1978",UTAH GEOLOGICAL AND MINERAL SURVEY
17227,"DAVIS, R.",,(C- 7- 5)32ABA-S1,,,UNITED STATES,UTAH,TOOELE,40-10.26 N,112-25.5  W,07S,005W,32,NE OF NW NE,,FAUST 1:24000,35,LOCATION APPROXIMATE,SPRING,,,1964/12/22,,L/MIN,,,,,,,,PPM,,20.0,,2271.0,,,,,,,,,,7.8,,,725.0,,412.0,,,,,,0.06,,,,,46.0,,,106.0,,,,,,0.3,,0.12,,,237.0,,,,2.8,,38.0,0.07,,47.0,,,,,1.4,,,,,,,,14.0,,35.0,,,,,,,,,,,,,,,,,,"HOOD AND OTHERS, 1969",UTAH GEOLOGICAL AND MINERAL SURVEY
17291,DBW NO. 1,,,,,UNITED STATES,UTAH,TOOELE,40-39.12 N,113-57.60 W,02S,019W,14,NW OF NE,,,35,,WELL,,,1948/01/30,,,,,,,,,,,,43.0,,,,366.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TURK, 1973",UTAH GEOLOGICAL AND MINERAL SURVEY
17292,DBW NO.3,,,,,UNITED STATES,UTAH,TOOELE,40-38.28 N,113-57.24 W,02S,019W,24,NE OF SW,,,35,,WELL,,,,,,,,,,,,,,,88.0,,,,630.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TURK, 1973",UTAH GEOLOGICAL AND MINERAL SURVEY
17114,DE ARMAND #1 WELL,,34S-16W-18-CB,,,UNITED STATES,UTAH,IRON,37-50.34 N,113-41.22 W,34S,016W,18,NW OF SW,SALT LAKE,YALE CROSSING 1:24000,GREAT BASIN,,WELL,,,1976/00/00,,L/MIN,,,,INFORMATION FROM UTAH POWER AND LIGHT CO.,,,,,,145.0,,3785.3,,2133.6,,,,,,,,,,,,,4000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOTAL DEPTH OF FINISHED WELL = 3747.5M.,"GOODE, 1978",UTAH GEOLOGICAL AND MINERAL SURVEY
17208,DEAD COWS SPRING,,31S-09E-17-CBA,,,UNITED STATES,UTAH,GARFIELD,38-06.58 N,110-56.80 W,31S,009E,17,NE OF NW OF SW,SALT LAKE,MT ELLEN 1:62500,36,,SPRING,,,1975/07/31,,L/MIN,,,"""MANCOS SHALE"".",,,,,MG/L,,25.0,,38.0,,,,,,,,,,,,,1350.0,,971.0,,,,,,0.11,,,,,150.0,,,29.0,,,,,,0.5,,,,,248.0,,,,0.8,0.03,67.0,,,62.0,,,,,0.01,0.003,0.03,,,,,,19.0,,520.0,,,,,,,,,,,,,,,,,,"GOODE, 1978",UTAH GEOLOGICAL AND MINERAL SURVEY
17170,"DEFRIES, L.",,(B- 6- 2)27DCD-2,,,UNITED STATES,UTAH,WEBER,41-13.26 N,112-03.0  W,06N,002W,27,SE OF SW SE,,ROY 1:24000,35,,WELL,,,1959/11/18,,,,,,,,,,MG/L,,20.0,,,,191.0,,,,,,,,7.8,,,459.0,,266.0,,,,,,,,,,,42.0,,,48.0,,,,,,,,,,,193.0,,,,,,10.0,,,,41.0,,,,0.4,,,,,,,,19.0,,9.1,,,,,,,,,,,,,,,,,4 SIMILAR ANALYSES OF 18-22 DEG C.,"BOLKE AND WADDELL, 1972A",UTAH GEOLOGICAL AND MINERAL SURVEY
17206,DESERET LIVESTOCK SO.,,(C- 3- 8)10CCC-S1,,,UNITED STATES,UTAH,TOOELE,40-33.9  N,112-44.5  W,03S,008W,10,SW OF SW SW,,TIMPIE 1:62500,35,LOCATION APPROXIMATE,SPRING,,,1963/07/30,,L/MIN,,,,,,,,PPM,,22.7,,6814.0,,,,,,,,,,7.3,,,9820.0,,5980.0,,,,,,0.47,,,,,152.0,,,3150.0,,,,,,0.4,,0.09,,,241.0,,,,66.0,,61.0,0.01,,1970.0,,,,,6.9,,,,,,,,17.0,,280.0,,,,,,,,,,,,,,,,,DISCHARGE IS FROM 5 SPRINGS AT NORTH END OF SPRING AREA.,"HOOD AND WADDELL, 1968",UTAH GEOLOGICAL AND MINERAL SURVEY
17204,DESERET LIVESTOCK SOUTH,,(C- 3- 8)15CBA-S1,,,UNITED STATES,UTAH,TOOELE,40-33.33 N,112-44.34 W,03S,008W,15,NE OF NW SW,,TIMPIE 1:62500,35,,SPRING,,,1963/07/30,,L/MIN,,,,ONE SPRING IN LARGE SPRING AREA.,,,,PPM,,21.7,,871.0,,,,,,,,,,7.2,,,9590.0,,5770.0,,,,,,0.44,,,,,138.0,,,3090.0,,,,,,0.3,,0.15,,,223.0,,,,66.0,,55.0,0.04,,1960.0,,,,,4.3,,,,,,,,16.0,,260.0,,,,,,,,,,,,,,,,,,"HOOD AND WADDELL, 1968",UTAH GEOLOGICAL AND MINERAL SURVEY
17205,DESERET LIVESTOCK,,(C- 3- 8)21DDB-S1,,,UNITED STATES,UTAH,TOOELE,40-32.22 N,112-44.82 W,03S,008W,21,NW OF SE SE,,TIMPIE 1:62500,35,,SPRING,,,1963/07/23,,L/MIN,,,,,,,,PPM,,23.9,,38.0,,,,,,,,,,7.1,,,238.0,,137.0,,,,,,0.02,,,,,23.0,,,26.0,,,,,,0.2,,1.2,,,90.0,,,,0.9,,5.4,0.1,,14.0,,,,,0.1,,,,,,,,11.0,,10.0,,,,,,,,,,,,,,,,,,"HOOD AND WADDELL, 1968",UTAH GEOLOGICAL AND MINERAL SURVEY
17906,DEVILS RIDGE SPRING,,,,,UNITED STATES,UTAH,MILLARD,38-51.54 N,112-30.72 W,22S,006W,34,SE OF NE,,,,,SPRING,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DENNIS AND OTHERS, 1946",UTAH GEOLOGICAL AND MINERAL SURVEY
17655,DIAMOND FORK WARM SPRINGS,,(D- 8- 5)14D-S,,,UNITED STATES,UTAH,UTAH,40-07.06 N,111-20.22 W,08S,005E,14,SE,,RAYS VALLEY 1:24000,35,17 MILES EAST OF SPANISH FORK.,SPRING,,,1967/10/20,,,,,ISSUES FROM CONGLOMERATES OF MESOZOIC AGE.,ODOR OF HYDROGEN SULFIDE IS NOTICEABLE.,,,,PPM,,20.0,,1703.0,,,,,,,,,,7.6,,,1180.0,,837.0,,,0.027,,,0.2,,0.0006,0.0003,0.05,104.0,,0.0014,36.0,0.0014,,0.0014,,0.0014,1.6,,0.049,0.0057,0.013,264.0,,,0.03,8.3,0.1,32.0,0.0039,0.0003,117.0,,,,0.0034,0.5,0.0014,,,,,,,17.0,,390.0,,,0.0006,,0.0003,,0.0057,,,,,,,,,,,"MUNDORFF, 1970",UTAH GEOLOGICAL AND MINERAL SURVEY
17587,DIXIE SPRINGS FARM,,(C-42-14)12DCC-1,,,UNITED STATES,UTAH,WASHINGTON,37-08.5  N,113-22.4  W,42S,014W,12,SW OF SW SE,,HURRICANE 1:62500,,,WELL,,,1968/09/11,,L/MIN,,,,,,,,MG/L,,20.0,,382.0,,43.0,,,,,,,,,,,383.0,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CORDOVA AND OTHERS, 1972",UTAH GEOLOGICAL AND MINERAL SURVEY
17251,DMAD IRR,,,,,UNITED STATES,UTAH,MILLARD,39-25.62 N,112-27.18 W,16S,005W,18,NE OF SW,,,,,WELL,,,1961/07/08,,,,,,,,,,MG/L,,20.0,,12113.0,,285.0,,,,,,,,7.7,,,349.0,,209.0,,,,,,0.26,,,,,32.0,,,20.0,,,,,,,,,,,178.0,,,,,,14.0,,,,22.0,,,,2.6,,,,,,,,29.0,,10.0,,,,,,,,,,,,,,,,,,"MOWER AND FELTIS, 1964",UTAH GEOLOGICAL AND MINERAL SURVEY
17252,DMAD IRR,,,,,UNITED STATES,UTAH,MILLARD,39-24.60 N,112-27.48 W,16S,005W,19,SE OF SW,,,,,WELL,,,1960/10/03,,,,,,,,,,MG/L,,20.0,,7571.0,,253.0,,,,,,,,7.5,,,322.0,,202.0,,,,,,0.04,,,,,24.0,,,24.0,,,,,,0.2,,0.03,,,154.0,,,,1.8,,18.0,,,19.0,,,,,1.8,,,,,,,,24.0,,13.0,,,,,,,,,,,,,,,,,,"MOWER AND FELTIS, 1964",UTAH GEOLOGICAL AND MINERAL SURVEY
17249,DMAD IRR,,,,,UNITED STATES,UTAH,MILLARD,39-28.08 N,112-24.78 W,15S,005W,33,SW OF NW,,,,,WELL,,,1961/09/27,,,,,,,,,,MG/L,,21.1,,,,251.0,,,,,,,,7.8,,,451.0,,280.0,,,,,,,,,,,31.0,,,39.0,,,,,,,,0.01,,,166.0,,,,,,16.0,,,,41.0,,,,3.7,,,,,,,,30.0,,37.0,,,,,,,,,,,,,,,,,,"MOWER AND FELTIS, 1964",UTAH GEOLOGICAL AND MINERAL SURVEY
17253,DMAD IRR,,,,,UNITED STATES,UTAH,MILLARD,39-24.60 N,112-27.48 W,16S,005W,19,SE OF SW,,,,,WELL,,,1961/06/02,,,,,,,,,,MG/L,,20.0,,,,,,,,,,,,7.9,,,325.0,,280.0,,,,,,0.08,,,,,26.0,,,24.0,,,,,,0.2,,,,,158.0,,,,1.7,,18.0,,,19.0,,,,,2.9,,,,,,,,25.0,,13.0,,,,,,,,,,,,,,,,,,"MOWER AND FELTIS, 1964",UTAH GEOLOGICAL AND MINERAL SURVEY
17250,DMAD IRR,,,,,UNITED STATES,UTAH,MILLARD,39-28.08 N,112-24.78 W,15S,005W,33,SW OF NW,,,,,WELL,,,1962/08/21,,,,,,,,,,MG/L,,21.7,,,,,,,,,,,,7.5,,,513.0,,308.0,,,,,,0.07,,,,,31.0,,,52.0,,,,,,0.3,,,,,152.0,,,,2.3,,20.0,,,42.0,,,,,3.1,,,,,,,,26.0,,56.0,,,,,,,,,,,,,,,,,,"MOWER AND FELTIS, 1964",UTAH GEOLOGICAL AND MINERAL SURVEY
17021,DOTSONS (RADIUM),,,,,UNITED STATES,UTAH,BEAVER,38-12.96 N,112-54.12 W,30S,009W,07,,,,,,SPRING,,,,,L/MIN,,,,,,,,MG/L,,31.7,,379.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MUNDORFF, 1970",UTAH GEOLOGICAL AND MINERAL SURVEY
17020,DOTSONS (RADIUM),,,,,UNITED STATES,UTAH,BEAVER,38-12.96 N,112-54.12 W,30S,009W,07,,,,,,SPRING,,,,,L/MIN,,,,,,,,MG/L,,36.1,,216.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,205.0,,,,,,,,,,,,,,,,,,,,,,,,87.0,,,,,,,,,,,,,,,,,,"LEE, 1908",UTAH GEOLOGICAL AND MINERAL SURVEY
17451,DOTSONS (RADIUM),,,,,UNITED STATES,UTAH,BEAVER,38-12.96 N,112-54.00 W,30S,009W,07,SW OF NE,,,,,SPRING,,,1963/08/21,,,,,,,,,,MG/L,,32.5,,,,,,,,,,,,8.3,,,1420.0,,1030.0,,,,,,0.31,,,,,110.0,,,65.0,,3.0,,,,9.8,,0.02,,,220.0,,,,18.0,,24.0,,,170.0,,,,,0.2,,,,,,,,31.0,,480.0,,,,,,,,,,,,,,,,,,"MOWER AND CORDOVA, 1974",UTAH GEOLOGICAL AND MINERAL SURVEY
17452,DOTSONS (RADIUM),,,,,UNITED STATES,UTAH,BEAVER,38-12.96 N,112-54.00 W,30S,009W,07,SW OF NE,,,35,,SPRING,,,1967/07/11,,,,,,,,,,MG/L,,31.5,,,,,,,,,,,,7.4,,,1390.0,,1020.0,,,,,,0.47,,,,,88.0,,,63.0,,,,,,4.5,,,,,228.0,,,,17.0,,35.0,,,170.0,,,,,,,,,,,,,32.0,,440.0,,,,,,,,,,,,,,,,,,"MOWER AND CORDOVA, 1974",UTAH GEOLOGICAL AND MINERAL SURVEY
17505,DRAPER IRRIGATION,,(D-3-1)29CBC-1,,,UNITED STATES,UTAH,SALT LAKE,40-31.62 N,111-52.1  W,03S,001E,29,SW OF NW SW,,DRAPER 1:24000,35,LOCATION APPROXIMATE,WELL,,,1964/11/25,,L/MIN,,,,,,,,PPM,,25.5,,1325.0,,84.0,,,,,,,,7.6,,,810.0,,486.0,,,,,,0.13,,,,,51.0,,,107.0,,,,,,0.7,,,,,226.0,,,,15.0,,11.0,,,105.0,,,,,6.0,,,,,,,,27.0,,68.0,,,,,,,,,,,,,,,,,,"IORNS AND OTHERS, 1966A",UTAH GEOLOGICAL AND MINERAL SURVEY
17518,DRAPER IRRIGATION CO.,,(D- 3- 1)20CDD-1,,,UNITED STATES,UTAH,SALT LAKE,40-32.8  N,111-51.8  W,03S,001E,20,SE OF SE SW,,DRAPER 1:24000,,LOCATION APPROXIMATE,WELL,,,1966/06/03,,,,,,,,,,PPM,,21.0,,,,155.0,,,,,,,,8.1,,,1470.0,,885.0,,,,,,,,,,,42.0,,,254.0,,,,,,,,,,,243.0,,,,,,22.0,,,238.0,,,,,2.8,,,,,,,,18.0,,147.0,,,,,,,,,,,,,,,,,,"HELY AND OTHERS, 1967",UTAH GEOLOGICAL AND MINERAL SURVEY
17055,E. JORDAN CANAL CO.,,,,,UNITED STATES,UTAH,SALT LAKE,38-58.62 N,110-59.92 W,03S,001W,23,SW OF SE,,,,,SPRING,,,1958/07/30,,,,,,,,,,MG/L,,22.7,,,,,,,,,,,,7.5,,,696.0,,393.0,,,,,,,,,,,64.0,,,66.0,,,,,,,,,,,249.0,,,,,,25.0,,,,40.0,,,,0.8,,,,,,,,23.0,,52.0,,,,,,,,,,,,,,,,,,"MARINE, 1960",UTAH GEOLOGICAL AND MINERAL SURVEY
17014,E. TANNER,,,,,UNITED STATES,UTAH,BEAVER,38-23.94 N,112-59.88 W,28S,010W,05,SW OF NW,,,,,WELL,,,,,L/MIN,,,,,,,,MG/L,,21.7,,30.0,,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,,,,,,,,,101.0,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,,,"LEE, 1908",UTAH GEOLOGICAL AND MINERAL SURVEY
17597,"EARL, E.",,(C-42-16)24ACA-1,,,UNITED STATES,UTAH,WASHINGTON,37-07.22 N,113-35.52 W,42S,016W,24,NE OF SW NE,,ST. GEORGE 1:62500,,,WELL,,,1968/10/18,,,,,,,,,,MG/L,,21.0,,,,41.0,,,,,,,,,,,3630.0,,,,,,,,,,,,,,,,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CORDOVA AND OTHERS, 1972",UTAH GEOLOGICAL AND MINERAL SURVEY
17193,"EARTH SCIENCES, INC.",,,,,UNITED STATES,UTAH,BEAVER,38-20.82 N,113-23.28 W,28S,014W,11,SE OF NE,,,,,WELL,,,1973/09/27,,,,,,,,,,MG/L,,24.5,,,,449.0,,,,,,,,7.5,,,985.0,,586.0,,,,,,0.12,,,,,21.0,,,32.0,,,,,,1.0,,,,,169.0,,,,11.0,,6.4,,,86.0,,,,,0.85,,,,,,,,58.0,,82.0,,,,,,,,,,,,,,,,,,"STEPHENS, 1974B",UTAH GEOLOGICAL AND MINERAL SURVEY
17155,"EASTMOND, F.",,(C- 5- 1)25CCC-4,,,UNITED STATES,UTAH,UTAH,40-20.9  N,111-54.30 W,05S,001W,25,SW OF SW SW,,SARATOGA SPRINGS 1:24000,35,LOCATION APPROXIMATE,WELL,,,1953/05/28,,L/MIN,,,,,,,,PPM,,46.1,,473.0,,32.0,,,,,,,,7.1,,,,,1506.0,,,,,,,,,,,179.0,,,343.0,,,,,,1.8,,0.29,,,317.0,,,,,,55.0,,,,229.0,,,,0.5,,,,,,,,21.0,,413.0,,,,,,,,,,,,,,,,,,"SUBITZKY, 1962",UTAH GEOLOGICAL AND MINERAL SURVEY
17311,ELBERTA,,(C-10- 1)16BBB,,,UNITED STATES,UTAH,UTAH,39-57.06 N,111-57.24 W,10S,001W,16,NW OF NW NW,,SANTAQUIN 1:62500,,,SPRING,,,1977/07/00,,,,,,,,,,MG/L,,22.0,,,,,,,,,,,,6.8,,,,,,,,0.03,,,,,,,,278.0,,,350.0,,,,,,,,0.04,,,140.0,,,,15.0,,101.0,,,52.0,,,,,,,,,,,,,70.0,,300.0,,,,,,,,,,,,,,,,,,"PARRY AND CLEARY, 1978",UTAH GEOLOGICAL AND MINERAL SURVEY
17131,ELBERTA LAND & WATER CO.,,(C-10- 1)28ADA-1,,,UNITED STATES,UTAH,UTAH,39-55.08 N,111-56.16 W,10S,001W,28,NE OF SE NE,,SANTAQUIN 1:62500,,,WELL,,,1951/11/23,,L/MIN,,,,,,,,,,20.0,,189.0,,102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CORDOVA, 1969",UTAH GEOLOGICAL AND MINERAL SURVEY
17274,"ELLSWORTH, L. B.",,,,,UNITED STATES,UTAH,MILLARD,39-24.96 N,112-45.78 W,16S,008W,21,SW OF SE,,,,,WELL,,,1957/11/15,,,,,,,,,,MG/L,,28.9,,,,,,,,,,,,8.0,,,3110.0,,1760.0,,,,,,,,,,,35.0,,,770.0,,,,,,,,,,,208.0,,,,,,13.0,,,,605.0,,,,1.8,,,,,,,,41.0,,192.0,,,,,,,,,,,,,,,,,,"MOWER AND FELTIS, 1964",UTAH GEOLOGICAL AND MINERAL SURVEY
17262,"ELLSWORTH, L. B.",,,,,UNITED STATES,UTAH,MILLARD,39-18.48 N,112-28.98 W,17S,006W,26,NE OF NW,,,,,WELL,,,1962/06/20,,,,,,,,,,MG/L,,75.0,,4353.0,,219.0,,,,,,,,7.8,,,549.0,,339.0,,,,,,,,,,,22.0,,,32.0,,,,,,3.0,,,,,253.0,,,,,,12.0,,,,80.0,,,,0.1,,,,,,,,42.0,,27.0,,,,,,,,,,,,,,,,,,"MOWER AND FELTIS, 1964",UTAH GEOLOGICAL AND MINERAL SURVEY
17005,"ELLSWORTH, L. B.",,,,,UNITED STATES,UTAH,MILLARD,39-24.90 N,112-45.78 W,16S,008W,21,SW OF SE,,,,,WELL,,,1947/03/12,,L/MIN,,,,,,,,MG/L,,24.4,,3956.0,,304.0,,,,,,,,8.0,,,3110.0,,1760.0,,,,,,,,,,,28.0,,,770.0,,,,,,,,,,,208.0,,,,,,11.0,,,,605.0,,,,1.8,,,,,,,,41.0,,192.0,,,,,,,,,,,,,,,,,,"MOWER AND FELTIS, 1964",UTAH GEOLOGICAL AND MINERAL SURVEY
17595,"EMPEY, K.",,(C-42-15)30DCD-2,,,UNITED STATES,UTAH,WASHINGTON,37-05.82 N,113-34.32 W,42S,015W,30,SE OF SW SE,,ST. GEORGE 1:62500,35,,WELL,,,1968/10/15,,,,,,,,,,MG/L,,22.0,,,,7.6,,,,,,,,7.6,,,4090.0,,3740.0,,,,,,2.0,,,,,369.0,,,150.0,,,,,,,,,,,320.0,,,,,,148.0,,,,562.0,,,,49.0,,,,,,,,82.0,,2150.0,,,,,,,,,,,,,,,,,,"CORDOVA AND OTHERS, 1972",UTAH GEOLOGICAL AND MINERAL SURVEY
17148,"ENNIS, W. D.",,(C- 5- 1)24DDC,,,UNITED STATES,UTAH,UTAH,40-21.84 N,111-53.40 W,05S,001W,24,SW OF SE SE,,SARATOGA SPRINGS 1:24000,35,,WELL,,,,,,,,,,,,,,,21.1,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SUBITZKY, 1962",UTAH GEOLOGICAL AND MINERAL SURVEY
17467,EUGENE PAYNE,,(D- 3- 4)26CCA-S1,,,UNITED STATES,UTAH,WASATCH,40-31.53 N,111-28.08 W,03S,004E,26,NE OF SW SW,,HEBER CITY 1:24000,37,,SPRING,,,1966/09/28,,,,,,,,,,MG/L,,39.0,,,,,,,,,,,,7.3,,,2200.0,,1730.0,,,,,,0.67,,,,,331.0,,,108.0,,,,,,2.2,,,,,674.0,,,,25.0,,68.0,,,114.0,,,,,0.1,,,,,,,,23.0,,661.0,,,,,,,,,,,,,,,,,,"BAKER, 1970",UTAH GEOLOGICAL AND MINERAL SURVEY
17406,FARMINGTON BAY REFUGE WELL,,03N-01W-35-ABA,,,UNITED STATES,UTAH,DAVIS,40-56.45 N,111-55.00 W,03N,001W,35,NE OF NW OF NE,SALT LAKE,FARMINGTON 1:24000,WASATCH UPLIFT,ELEVATION = 4206 FT.,WELL,,,1958/10/10,,,,,,WELL DRILLED 1955; DOMESTIC USE.,,,,MG/L,,33.0,,,,371.9,,,,,,,,7.9,,,1400.0,,773.0,,,,,,,,,,,30.0,,,380.0,,,,,,,,,,,88.0,,,,,,1.0,,,,256.0,,,,0.9,,,,,,,,36.0,,26.0,,,,,,,,,,,,,,,,,,"BOLKE AND WADDELL, 1972A",UTAH GEOLOGICAL AND MINERAL SURVEY
17407,FARMINGTON BAY REFUGE WELL,,03N-01W-35-ABA,,,UNITED STATES,UTAH,DAVIS,40-56.45 N,111-55.00 W,03N,001W,35,NE OF NW OF NE,SALT LAKE,FARMINGTON 1:24000,35,ELEVATION = 4206 FT.,WELL,,,1960/11/28,,,,,,WELL DRILLED 1955; DOMESTIC USE.,,,,MG/L,,29.0,,,,372.0,,,,,,,,7.6,,,1390.0,,752.0,,,,,,,,,,,26.0,,,370.0,,,,,,4.4,,0.48,,,79.0,,,,2.1,,4.4,,,250.0,,,,,1.2,,,,,,,,32.0,,22.0,,,,,,,,,,,,,,,,,,"BOLKE AND WADDELL, 1972A",UTAH GEOLOGICAL AND MINERAL SURVEY
17913,FAULT ZONE SPRING,,(C- 6- 1)1AAB-1,,,UNITED STATES,UTAH,UTAH,40-19.9  N,111-53.3  W,06S,001W,01,,,SARATOGA SPRINGS 1:24000,35,RISES IN BOTTOM OF UTAH LAKE; LOCATION APPROXIMATE.,SPRING,,,1940/05/04,,,,,,,,,,PPM,,32.2,,,,,,,,,,,,7.8,,,,,1668.0,,,,,,,,,,,124.0,,,440.0,,,,,,,,6.0,,,,,,,12.0,,61.0,,,202.0,,,,,,,,,,,,,25.0,,509.0,,,,,,,,,,,,,,,,,FE INCLUDES AL2O3.,"SUBITZKY, 1962",UTAH GEOLOGICAL AND MINERAL SURVEY
17588,"FAWCETT, M.",,(C-42-14)15CBA-1,,,UNITED STATES,UTAH,WASHINGTON,37-07.92 N,113-25.   W,42S,014W,15,NE OF NW SW,,HURRICANE 1:62500,,,WELL,,,1968/09/12,,L/MIN,,,,,,,,MG/L,,20.0,,416.0,,98.0,,,,,,,,,,,1500.0,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CORDOVA AND OTHERS, 1972",UTAH GEOLOGICAL AND MINERAL SURVEY
17544,FBC IRR.,,(D-14- 5)16BDD-1,,,UNITED STATES,UTAH,SANPETE,39-36.1  N,111-22.02 W,14S,005E,16,SE OF SE NW,,HUNTINGTON RESERVOIR 1:24000,,LOCATION APPROXIMATE,WELL,,,1962/01/20,,L/MIN,,,,CASED TO 5588 PLUGGED 5800-5900 FLOW BETWEEN PLUG & CASING.         H2S,,,,PPM,,55.0,,1109.0,,2776.0,,,,,,,,8.0,,,471.0,,302.0,,,,,,0.16,,,,,27.0,,,5.0,,2.0,,,,0.7,,0.06,,,299.0,,,,6.0,,13.0,,,69.0,,,,,1.1,,,,,,,,17.0,,10.0,,,,,,,,,,,,,,,,,,"ROBINSON, 1968",UTAH GEOLOGICAL AND MINERAL SURVEY
17465,FISH SPRINGS,,11S-14W-23-,,,UNITED STATES,UTAH,JUAB,39-50.5  N,113-23.5  W,11S,014W,23,,SALT LAKE,FISH SPRINGS SW 1:24000,35,SPRINGS ARE SCATTERED OVER A FOUR SQUARE MILE AREA; UNKNOWN WHICH SPRING THE SAMPLE WAS TAKEN FROM.,SPRING,,,1967/07/12,,,,,,OTHER ORIFICES HAVE COMPARIBLE QUALITY WITH TEMP RAN2C.,,,,PPM,,27.8,,283.9,,,,,,,,,,7.7,,,3050.0,,1820.0,,,0.025,,,0.79,,0.00057,0.00029,1.3,136.0,,0.0014,630.0,0.0014,,0.0014,,0.0014,2.0,,0.11,0.0057,0.0029,312.0,,,0.02,36.0,0.33,26.0,0.0014,0.0094,470.0,,,,0.0025,,0.0014,,,,,,,20.0,,340.0,,,0.00057,,0.001,,0.11,,,,,,,,,,,"MUNDORFF, 1970",UTAH GEOLOGICAL AND MINERAL SURVEY
17128,"FITZGERALD, L. W.",,(C- 8- 1)20CDB-1,,,UNITED STATES,UTAH,UTAH,40-06.01 N,111-58.20 W,08S,001W,20,NW OF SE SW,,GOSHEN VALLEY NORTH 1:24000,,,WELL,,,1945/11/11,,L/MIN,,,,,,,,,,20.0,,57.0,,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CORDOVA, 1969",UTAH GEOLOGICAL AND MINERAL SURVEY
17231,FOOTES RANCH,,,,,UNITED STATES,UTAH,MILLARD,39-25.92 N,113-52.50 W,16S,018W,09,,,,,,SPRING,,,1908/00/00,,L/MIN,,,,,,,,,,20.0,,3785.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MEINZER, 1911",UTAH GEOLOGICAL AND MINERAL SURVEY
